Time (days),Susceptible (Sh),Exposed (Eh),Exposed & Quarantined (Et),Exposed & Not Treated (En),Infected humans (Ih),Isolated Humans (Iq),Death Humans (D),Susceptible Rodent (Sr),Exposed Rodent (Er),Infected Rodent (Ir)
0,0,0.3500,0.0600,0.3494,0.2000,0.0800,0.0057,1.3000,0.4000,0.7500
1,0.0577,0.1866,0.0435,0.4739,0.1719,0.0450,0.0344,1.2644,0.3864,0.7317
2,0.0992,0.1000,0.0298,0.5264,0.1515,0.0308,0.0423,1.2299,0.3733,0.7138
3,0.1337,0.0541,0.0196,0.5413,0.1361,0.0258,0.0426,1.1965,0.3607,0.6963
4,0.1651,0.0298,0.0126,0.5371,0.1237,0.0246,0.0406,1.1641,0.3484,0.6793
5,0.1950,0.0172,0.0080,0.5233,0.1136,0.0244,0.0381,1.1327,0.3367,0.6626
6,0.2238,0.0106,0.0050,0.5052,0.1050,0.0243,0.0356,1.1023,0.3253,0.6462
7,0.2515,0.0073,0.0032,0.4853,0.0976,0.0239,0.0333,1.0729,0.3143,0.6303
8,0.2781,0.0057,0.0020,0.4651,0.0911,0.0233,0.0312,1.0444,0.3037,0.6147
9,0.3034,0.0051,0.0013,0.4454,0.0854,0.0225,0.0293,1.0167,0.2935,0.5995
10,0.3274,0.0049,0.0010,0.4264,0.0802,0.0215,0.0276,0.9900,0.2836,0.5846
11,0.3501,0.0050,0.0007,0.4082,0.0756,0.0205,0.0260,0.9640,0.2741,0.5701
12,0.3715,0.0051,0.0006,0.3911,0.0714,0.0195,0.0245,0.9389,0.2649,0.5559
13,0.3917,0.0054,0.0005,0.3749,0.0676,0.0185,0.0231,0.9146,0.2561,0.5420
14,0.4108,0.0057,0.0005,0.3596,0.0642,0.0175,0.0219,0.8910,0.2475,0.5285
15,0.4288,0.0059,0.0005,0.3453,0.0610,0.0166,0.0208,0.8681,0.2392,0.5152
16,0.4457,0.0062,0.0005,0.3317,0.0580,0.0158,0.0197,0.8460,0.2312,0.5023
17,0.4616,0.0064,0.0005,0.3190,0.0553,0.0150,0.0187,0.8245,0.2235,0.4897
18,0.4767,0.0067,0.0006,0.3070,0.0528,0.0143,0.0179,0.8037,0.2161,0.4774
