Time,S_H,E_H,E_TH,E_NT,I_H,I_QH,D_H
0,0.0,0.35,0.06,0.3494,0.2,0.08,0.75
1,0.0577,0.1866,0.0435,0.4739,0.1719,0.045,0.7317
2,0.0992,0.1,0.0298,0.5264,0.1515,0.0308,0.7138
3,0.1337,0.0541,0.0196,0.5413,0.1361,0.0258,0.6963
4,0.1651,0.0298,0.0126,0.5371,0.1237,0.0246,0.6793
5,0.195,0.0172,0.008,0.5233,0.1136,0.0244,0.6626
6,0.2238,0.0106,0.005,0.5052,0.105,0.0243,0.6462
7,0.2515,0.0073,0.0032,0.4853,0.0976,0.0239,0.6303
8,0.2781,0.0057,0.002,0.4651,0.0911,0.0233,0.6147
9,0.3034,0.0051,0.0013,0.4454,0.0854,0.0225,0.5995
10,0.3274,0.0049,0.001,0.4264,0.0802,0.0215,0.5846
11,0.3501,0.005,0.0007,0.4082,0.0756,0.0205,0.5701
12,0.3715,0.0051,0.0006,0.3911,0.0714,0.0195,0.5559
13,0.3917,0.0054,0.0005,0.3749,0.0676,0.0185,0.542
14,0.4108,0.0057,0.0005,0.3596,0.0642,0.0175,0.5285
15,0.4288,0.0059,0.0005,0.3453,0.061,0.0166,0.5152
16,0.4457,0.0062,0.0005,0.3317,0.058,0.0158,0.5023
17,0.4616,0.0064,0.0005,0.319,0.0553,0.015,0.4897
18,0.4767,0.0067,0.0006,0.307,0.0528,0.0143,0.4774
19,0.4909,0.0069,0.0006,0.2958,0.0505,0.0136,0.4654
20,0.5043,0.0071,0.0006,0.2852,0.0483,0.013,0.4537
21,0.5169,0.0073,0.0006,0.2752,0.0463,0.0124,0.4422
22,0.5289,0.0075,0.0006,0.2659,0.0445,0.0118,0.431
23,0.5402,0.0077,0.0006,0.2571,0.0427,0.0113,0.4201
24,0.5508,0.0079,0.0007,0.2488,0.0411,0.0108,0.4095
25,0.5609,0.0081,0.0007,0.241,0.0396,0.0104,0.3991
26,0.5705,0.0082,0.0007,0.2337,0.0381,0.01,0.389
27,0.5795,0.0084,0.0007,0.2268,0.0368,0.0096,0.3791
28,0.5881,0.0085,0.0007,0.2204,0.0356,0.0092,0.3694
29,0.5962,0.0086,0.0007,0.2143,0.0344,0.0089,0.36
30,0.6039,0.0088,0.0007,0.2086,0.0333,0.0086,0.3508
31,0.6111,0.0089,0.0008,0.2032,0.0323,0.0083,0.3418
32,0.618,0.009,0.0008,0.1982,0.0313,0.008,0.3331
33,0.6245,0.0091,0.0008,0.1935,0.0304,0.0077,0.3246
34,0.6307,0.0092,0.0008,0.189,0.0295,0.0075,0.3162
35,0.6366,0.0093,0.0008,0.1848,0.0287,0.0072,0.3081
36,0.6421,0.0094,0.0008,0.1809,0.028,0.007,0.3002
37,0.6474,0.0095,0.0008,0.1772,0.0273,0.0068,0.2925
38,0.6524,0.0095,0.0008,0.1738,0.0266,0.0066,0.2849
39,0.6572,0.0096,0.0008,0.1705,0.026,0.0064,0.2776
40,0.6617,0.0097,0.0008,0.1675,0.0254,0.0063,0.2704
41,0.666,0.0098,0.0008,0.1646,0.0249,0.0061,0.2635
42,0.67,0.0098,0.0009,0.162,0.0243,0.006,0.2567
43,0.6739,0.0099,0.0009,0.1594,0.0239,0.0058,0.25
44,0.6776,0.0099,0.0009,0.1571,0.0234,0.0057,0.2435
45,0.6811,0.01,0.0009,0.1549,0.023,0.0056,0.2372
46,0.6844,0.0101,0.0009,0.1528,0.0226,0.0054,0.2311
47,0.6876,0.0101,0.0009,0.1508,0.0222,0.0053,0.2251
48,0.6906,0.0102,0.0009,0.149,0.0219,0.0052,0.2192
49,0.6934,0.0102,0.0009,0.1473,0.0215,0.0051,0.2136
50,0.6961,0.0102,0.0009,0.1457,0.0212,0.005,0.208
51,0.6987,0.0103,0.0009,0.1442,0.0209,0.005,0.2026
52,0.7012,0.0103,0.0009,0.1428,0.0207,0.0049,0.1973
53,0.7036,0.0104,0.0009,0.1415,0.0204,0.0048,0.1922
54,0.7058,0.0104,0.0009,0.1403,0.0202,0.0047,0.1872
55,0.7079,0.0104,0.0009,0.1391,0.02,0.0047,0.1823
