Time,S_H,E_H,E_TH,E_NT,I_H,I_QH,D_H
0,1.8,0.035,0.006,0.0349,0.02,0.008,0.075
1,1.7996,0.0351,0.006,0.0351,0.02,0.008,0.0751
2,1.7992,0.0352,0.006,0.0352,0.0199,0.0079,0.0752
3,1.7988,0.0352,0.006,0.0353,0.0199,0.0079,0.0753
4,1.7984,0.0353,0.006,0.0354,0.0198,0.0079,0.0753
5,1.7964,0.0357,0.0059,0.036,0.0196,0.0077,0.0758
6,1.7944,0.0361,0.0059,0.0366,0.0194,0.0076,0.0762
7,1.7924,0.0364,0.0058,0.0372,0.0192,0.0074,0.0767
8,1.7904,0.0368,0.0058,0.0379,0.0189,0.0073,0.0771
9,1.7814,0.0382,0.0056,0.0407,0.018,0.0067,0.0792
10,1.7725,0.0395,0.0054,0.0436,0.0172,0.0061,0.0815
11,1.7635,0.0407,0.0053,0.0466,0.0164,0.0056,0.0838
12,1.7546,0.0417,0.0051,0.0497,0.0157,0.0051,0.0862
13,1.7443,0.0428,0.005,0.0533,0.0149,0.0046,0.089
14,1.734,0.0437,0.0049,0.057,0.0142,0.0041,0.0919
15,1.7237,0.0445,0.0048,0.0607,0.0136,0.0037,0.0949
16,1.7135,0.0452,0.0048,0.0645,0.013,0.0033,0.0978
17,1.7018,0.0459,0.0047,0.0689,0.0124,0.0029,0.1012
18,1.6901,0.0464,0.0046,0.0733,0.0118,0.0025,0.1046
19,1.6785,0.0469,0.0046,0.0777,0.0114,0.0022,0.108
20,1.6669,0.0472,0.0045,0.0822,0.0109,0.0019,0.1113
21,1.6538,0.0475,0.0045,0.0872,0.0105,0.0016,0.115
22,1.6408,0.0477,0.0044,0.0922,0.0102,0.0013,0.1186
23,1.6279,0.0479,0.0044,0.0971,0.0099,0.0011,0.1221
24,1.615,0.0479,0.0044,0.102,0.0097,0.0009,0.1255
25,1.6004,0.0479,0.0044,0.1076,0.0095,0.0007,0.1292
26,1.5858,0.0479,0.0043,0.1131,0.0093,0.0005,0.1328
27,1.5714,0.0478,0.0043,0.1186,0.0092,0.0003,0.1362
28,1.5571,0.0476,0.0043,0.124,0.0092,0.0002,0.1394
29,1.5408,0.0474,0.0043,0.13,0.0092,0.0001,0.1428
30,1.5246,0.0471,0.0043,0.1359,0.0092,0.0,0.146
31,1.5086,0.0468,0.0042,0.1418,0.0093,-0.0001,0.149
32,1.4928,0.0465,0.0042,0.1474,0.0094,-0.0001,0.1517
33,1.478,0.0461,0.0042,0.1527,0.0095,-0.0001,0.1541
34,1.4634,0.0458,0.0042,0.1578,0.0097,-0.0002,0.1562
35,1.449,0.0454,0.0042,0.1627,0.0099,-0.0002,0.1582
36,1.4346,0.045,0.0041,0.1676,0.0101,-0.0001,0.1599
37,1.4183,0.0446,0.0041,0.1731,0.0103,-0.0001,0.1617
38,1.4022,0.0441,0.0041,0.1784,0.0106,-0.0001,0.1633
39,1.3862,0.0437,0.004,0.1835,0.0109,0.0,0.1647
40,1.3705,0.0432,0.004,0.1885,0.0111,0.0,0.1658
41,1.3522,0.0427,0.004,0.1942,0.0115,0.0001,0.167
42,1.3342,0.0421,0.0039,0.1996,0.0118,0.0002,0.1679
43,1.3164,0.0416,0.0039,0.2049,0.0122,0.0003,0.1685
44,1.299,0.0411,0.0038,0.2099,0.0126,0.0004,0.169
45,1.2755,0.0403,0.0038,0.2165,0.013,0.0005,0.1693
46,1.2525,0.0396,0.0037,0.2228,0.0135,0.0007,0.1693
47,1.2299,0.0389,0.0036,0.2286,0.014,0.0008,0.169
48,1.2079,0.0382,0.0036,0.2342,0.0145,0.001,0.1685
49,1.1798,0.0373,0.0035,0.2409,0.015,0.0012,0.1675
50,1.1525,0.0365,0.0034,0.2471,0.0156,0.0014,0.1662
51,1.126,0.0356,0.0033,0.2528,0.0161,0.0016,0.1647
52,1.1002,0.0348,0.0033,0.258,0.0166,0.0018,0.163
53,1.0747,0.034,0.0032,0.2628,0.0171,0.002,0.1611
54,1.05,0.0332,0.0031,0.2672,0.0175,0.0022,0.1591
55,1.0259,0.0324,0.003,0.2711,0.0179,0.0023,0.157
56,1.0025,0.0317,0.003,0.2747,0.0183,0.0025,0.1548
57,0.9784,0.0309,0.0029,0.278,0.0186,0.0027,0.1525
58,0.955,0.0301,0.0028,0.2809,0.019,0.0028,0.1501
59,0.9322,0.0294,0.0028,0.2834,0.0193,0.003,0.1477
60,0.9101,0.0287,0.0027,0.2856,0.0195,0.0031,0.1453
61,0.8867,0.028,0.0026,0.2875,0.0198,0.0032,0.1426
62,0.8639,0.0272,0.0026,0.2891,0.02,0.0033,0.14
63,0.8419,0.0265,0.0025,0.2903,0.0202,0.0034,0.1374
64,0.8206,0.0259,0.0024,0.2912,0.0203,0.0035,0.1348
65,0.7978,0.0251,0.0024,0.2918,0.0205,0.0036,0.132
66,0.7757,0.0244,0.0023,0.292,0.0206,0.0037,0.1292
67,0.7544,0.0237,0.0022,0.2919,0.0207,0.0038,0.1265
68,0.7338,0.0231,0.0022,0.2914,0.0207,0.0039,0.1238
69,0.7127,0.0224,0.0021,0.2907,0.0207,0.0039,0.121
70,0.6923,0.0218,0.002,0.2896,0.0207,0.004,0.1183
71,0.6726,0.0211,0.002,0.2882,0.0207,0.004,0.1157
72,0.6536,0.0205,0.0019,0.2866,0.0206,0.0041,0.1131
73,0.6327,0.0199,0.0019,0.2845,0.0206,0.0041,0.1102
74,0.6125,0.0192,0.0018,0.2821,0.0204,0.0041,0.1074
75,0.5932,0.0186,0.0017,0.2794,0.0203,0.0041,0.1047
76,0.5746,0.018,0.0017,0.2765,0.0202,0.0041,0.102
77,0.5534,0.0174,0.0016,0.2728,0.0199,0.0041,0.099
78,0.5331,0.0167,0.0016,0.2689,0.0197,0.0041,0.096
79,0.5137,0.0161,0.0015,0.2648,0.0194,0.0041,0.0932
80,0.4953,0.0155,0.0014,0.2604,0.0192,0.0041,0.0904
81,0.4734,0.0148,0.0014,0.2549,0.0188,0.004,0.0871
82,0.4527,0.0142,0.0013,0.2491,0.0184,0.004,0.084
83,0.4331,0.0135,0.0013,0.2432,0.018,0.0039,0.081
84,0.4146,0.013,0.0012,0.2372,0.0176,0.0039,0.0781
85,0.4075,0.0127,0.0012,0.2348,0.0174,0.0038,0.0769
86,0.4004,0.0125,0.0012,0.2324,0.0173,0.0038,0.0758
87,0.3936,0.0123,0.0011,0.2299,0.0171,0.0038,0.0747
88,0.3869,0.0121,0.0011,0.2275,0.0169,0.0037,0.0737
89,0.3803,0.0119,0.0011,0.225,0.0168,0.0037,0.0726
90,0.3739,0.0117,0.0011,0.2226,0.0166,0.0037,0.0716
91,0.3676,0.0115,0.0011,0.2201,0.0164,0.0036,0.0706
92,0.3615,0.0113,0.001,0.2177,0.0162,0.0036,0.0696
93,0.3523,0.011,0.001,0.2139,0.016,0.0036,0.0681
94,0.3434,0.0107,0.001,0.2102,0.0157,0.0035,0.0666
95,0.3348,0.0104,0.001,0.2065,0.0154,0.0035,0.0652
96,0.3265,0.0102,0.0009,0.2028,0.0152,0.0034,0.0638
97,0.3164,0.0098,0.0009,0.1981,0.0148,0.0033,0.0621
98,0.3066,0.0095,0.0009,0.1935,0.0145,0.0033,0.0605
99,0.2972,0.0092,0.0009,0.189,0.0142,0.0032,0.0589
100,0.2883,0.009,0.0008,0.1845,0.0138,0.0031,0.0574
101,0.2834,0.0088,0.0008,0.182,0.0137,0.0031,0.0565
102,0.2787,0.0087,0.0008,0.1796,0.0135,0.0031,0.0557
103,0.2741,0.0085,0.0008,0.1772,0.0133,0.003,0.0549
104,0.2695,0.0084,0.0008,0.1748,0.0131,0.003,0.0542
105,0.2651,0.0082,0.0008,0.1724,0.013,0.0029,0.0534
106,0.2608,0.0081,0.0007,0.17,0.0128,0.0029,0.0526
107,0.2566,0.008,0.0007,0.1677,0.0126,0.0029,0.0519
108,0.2524,0.0078,0.0007,0.1654,0.0124,0.0028,0.0512
109,0.2469,0.0077,0.0007,0.1623,0.0122,0.0028,0.0502
110,0.2415,0.0075,0.0007,0.1592,0.012,0.0027,0.0493
111,0.2363,0.0073,0.0007,0.1561,0.0118,0.0027,0.0483
